
created_at	id	name	operator	rn1
1435155367210	78c60931-a8e6-4926-bf8c-3471b15f5bae	brasrede	other	brasrede
1435155367210	2a94fa92-ed99-41c2-868d-5f8cd426b0aa	ensite	other	ensite
1435155367210	a144aef5-192a-4fe5-88a4-2fa31af485b9	grupo	other	grupo
1435155367210	c2f50c4e-2e8e-4523-b158-5d2dca6121fc	bbs	other	bbs
1435155367210	40eee18d-243f-474e-b2d0-07b0b3911388	rn	other	rn
1435155367210	e06fd0cb-e5b8-4481-a94e-61de52e32d41	dialdata	other	dialdata
1435155367210	0d674b2a-b91f-4133-b079-305cddd29495	blue	other	blue
1435154935900	46170dfc-624c-4d90-b99c-e988444a9ddf	intelig	other	intelig
1435154935900	b906a0df-9b96-4cd5-af9d-aca22f28bcd0	cambridge	other	cambridge
1435148627095	cf3eb420-2547-4286-81dc-9bc03ba1b077	55314	other	55314
1435148627095	94b09d4d-1105-4d25-a653-d4f0b76fb669	55323	other	55323
1435154935900	aeb5c2cf-4950-4a56-929d-e1a0489746b5	carvalhaes	other	carvalhaes
1435154935900	b5830665-855c-4455-b25e-608ff69e46bd	nogueira	other	nogueira
1435154935900	1a3fd304-50fd-4472-a4ee-6a81c2b1a00f	america	other	america
1435148627095	897c2936-a45c-44f8-83ac-deb323ca49ba	55343	other	55343
1435148627095	c59a9aa0-f709-4c4a-9baa-60395e823d70	55175	other	55175
1435148627095	277bc4ec-b621-4367-8478-f607218275cc	55173	other	55173
1435155367210	5ccd2674-8e2a-4515-ab20-c1a4c9e9ebaf	amigo	other	amigo
1435148627095	1dbd7ce4-7ffe-47aa-8461-44249111ab53	55143	other	55143
1435155367210	93cfc8c1-ce2b-4865-aa1d-e31bcc5765c2	signallink	other	signallink
1435155367210	7376fc04-ea14-4767-8330-fcf1110f167d	convergia	other	convergia
1435155367210	8ebbb3f8-d2c2-4260-ac69-e6a331a94f2e	lafaiete	other	lafaiete
1435155367210	6e023ba1-7fb2-4bc3-a904-4744f8fa2769	telecom	other	telecom
1435155367210	b57412fa-c138-46e2-a857-1832380269dd	ligue	other	ligue
1435155367210	b5f8ed79-da86-4d6e-baaf-8f59f8cb4cc1	wkve	other	wkve
1435155367210	f05c7fc0-4a26-4556-8f0e-fc3945f03fe3	digi	other	digi
1435155367210	1f3838c7-f219-497b-8845-7e53beb54d11	joao	other	joao
1435155367210	f57e6bb4-e22d-48ee-8666-182386767d23	bt	other	bt
1435155367210	34a3a853-be27-4da9-8481-f3b1cef08f84	konecta	other	konecta
1435155367210	c8502c01-ef79-4823-b2c2-889fb36e171c	locaweb	other	locaweb
1435155367210	4b770ae9-5b5c-4e9c-a70a-99621fec932b	tleste	other	tleste
1435155367210	1b841f36-6e35-4cfc-b192-511748dc66f2	citta	other	citta
1435155367210	48b6954e-501b-4933-a11a-2750a87280e5	porto	other	porto
1435155367210	0bac7978-af8f-43be-a44f-a372c9f83adb	maha	other	maha
1435155367210	26f29684-607c-4bd9-80e9-8731e7187347	hit	other	hit
1435155367210	754be46b-0021-4031-ba1e-788a2e3dff47	sul	other	sul
1435155367210	3ecfbf41-3532-47c7-a618-9f9e769fbe73	vox	other	vox
1435155367210	c2227caa-f5b6-4c78-bcc8-f623d9b5ba89	plumium	other	plumium
